Date,Day,Type,Guinea,Liberia,SierraLeone,Nigeria,Senegal,UnitedStates,Spain,Total
10/8/2014,200,Cases,1350,4076,2950,20,1,1,1,8399
10/8/2014,199,Deaths,778,2316,930,8,0,1,1,3034
