date,variable,Bo,Bombali,Bonthe,Kailahun,Kambia,Kenema,Koinadugu,Kono,Moyamba,National,Port Loko,Pujehun,Tonkolili,Western area rural,Western area urban
2014-12-09,population,654142,494139,168729,465048,341690,653013,335471,325003,278119,6348350,557978,335574,434937,263619,1040888
2014-12-09,new_noncase,23,7,13,1,17,5,4,18,13,181,20,0,3,13,44
2014-12-09,new_suspected,1,0,0,0,0,1,0,0,1,13,1,0,1,3,5
2014-12-09,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-09,new_confirmed,3,4,0,1,0,0,1,7,0,45,5,0,0,10,14
2014-12-09,cum_noncase,627,831,73,341,111,1162,106,161,305,8269,940,25,323,1066,2198
2014-12-09,cum_suspected,112,118,9,18,24,118,25,111,65,1456,255,15,84,172,330
2014-12-09,cum_probable,1,6,0,32,0,0,32,1,1,79,1,0,4,0,1
2014-12-09,cum_confirmed,276,890,4,563,86,494,87,119,170,6420,967,31,386,905,1442
2014-12-09,death_suspected,8,22,1,4,6,5,0,2,9,158,74,3,4,12,8
2014-12-09,death_probable,43,19,1,35,9,0,32,19,20,208,1,2,21,2,4
2014-12-09,death_confirmed,85,227,4,228,26,261,28,48,45,1786,223,16,90,214,291
2014-12-09,cfr,30,25,100,40,30,52,32,40,26,27,23,51,23,23,20
2014-12-09,positive_corpse,0,0,0,0,0,0,0,7,0,2,0,0,6,2
2014-12-09,negative_corpse,23,2,13,0,7,5,2,18,11,10,0,1,11,42
2014-12-09,cum_contacts,1803,6733,307,3498,845,3329,255,1313,1703,53321,8225,1222,3252,7496,13340
2014-12-09,cum_completed_contacts,1235,4904,165,2887,698,3041,227,783,1613,33071,2165,1103,2210,5381,6659
2014-12-09,contacts_followed,568,1829,142,611,147,53,28,530,90,18192,6060,119,1042,1711,5262
2014-12-09,new_contacts,0,20,0,65,14,11,0,12,0,427,16,0,0,49,240
2014-12-09,contacts_healthy,566,1828,142,611,143,53,28,528,89,17525,5964,119,1042,1427,4985
2014-12-09,contacts_ill,2,1,0,0,4,0,0,2,1,28,10,0,0,2,6
2014-12-09,contacts_not_seen,0,0,0,0,0,0,0,0,0,123,86,0,0,6,31
2014-12-09,new_completed_contacts,120,43,0,0,0,0,0,40,0,615,62,0,0,60,290
2014-12-09,percent_seen,100,100,100,100,100,100,100,100,100,98,98,100,100,98,98
