date,variable,Bo,Bombali,Bonthe,Kailahun,Kambia,Kenema,Koinadugu,Kono,Moyamba,National,Port Loko,Pujehun,Tonkolili,Western area rural,Western area urban
2014-12-02,population,654142,494139,168729,465048,341690,653013,335471,325003,278119,6348350,557978,335574,434937,263619,1040888
2014-12-02,new_noncase,28,9,0,1,1,9,5,5,0,127,34,0,2,12,21
2014-12-02,new_suspected,1,0,0,0,1,0,0,21,0,47,17,0,2,2,3
2014-12-02,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-02,new_confirmed,0,8,0,0,0,0,2,11,0,61,21,0,4,5,10
2014-12-02,cum_noncase,551,730,40,331,75,1106,87,136,251,7173,799,24,266,919,1858
2014-12-02,cum_suspected,107,113,6,18,21,112,24,111,59,1302,227,15,76,137,276
2014-12-02,cum_probable,1,6,0,32,0,0,32,1,1,79,1,0,4,0,1
2014-12-02,cum_confirmed,259,837,3,562,76,494,86,99,160,6039,907,31,377,843,1305
2014-12-02,death_suspected,8,22,1,4,6,5,0,2,9,158,74,3,4,12,8
2014-12-02,death_probable,43,19,1,35,9,0,32,19,20,208,1,2,21,2,4
2014-12-02,death_confirmed,78,200,2,228,24,261,26,35,41,1575,184,16,84,171,225
2014-12-02,cfr,30,23,66,40,31,52,30,35,25,26,20,51,22,20,17
2014-12-02,positive_corpse,0,0,0,0,0,0,0,2,0,10,0,0,3,7
2014-12-02,negative_corpse,28,0,0,1,0,7,1,5,0,15,0,0,7,17
2014-12-02,cum_contacts,1656,6303,165,3284,796,3318,255,1126,1639,48989,8085,1222,3107,6643,11390
2014-12-02,cum_completed_contacts,1000,4749,125,2584,672,3038,8,577,1526,29610,1796,1103,2204,4375,5853
2014-12-02,contacts_followed,634,1554,39,700,124,45,247,549,113,15619,6289,119,903,1236,3067
2014-12-02,new_contacts,0,33,0,6,5,0,0,2,18,319,24,0,0,41,190
2014-12-02,contacts_healthy,634,1554,39,700,123,45,247,515,113,15136,6229,119,903,1191,2724
2014-12-02,contacts_ill,0,0,0,0,1,0,0,34,0,40,3,0,0,0,2
2014-12-02,contacts_not_seen,0,0,0,0,0,0,0,0,0,206,57,0,0,0,149
2014-12-02,new_completed_contacts,0,38,0,5,0,0,0,45,3,341,0,0,25,45,180
2014-12-02,percent_seen,100,98,100,100,100,99,99,98,100,98,98,100,100,98,98
