date,variable,Bo,Bombali,Bonthe,Kailahun,Kambia,Kenema,Koinadugu,Kono,Moyamba,National,Port Loko,Pujehun,Tonkolili,Western area rural,Western area urban
2014-12-11,population,654142,494139,168729,465048,341690,653013,335471,325003,278119,6348350,557978,335574,434937,263619,1040888
2014-12-11,new_noncase,14,25,0,2,6,7,1,0,9,135,12,1,3,9,46
2014-12-11,new_suspected,1,0,0,0,1,1,0,0,1,15,2,1,0,1,7
2014-12-11,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-11,new_confirmed,5,2,0,0,2,0,2,0,0,40,8,0,3,8,10
2014-12-11,cum_noncase,657,857,73,346,117,1184,108,162,319,8552,974,30,340,1093,2292
2014-12-11,cum_suspected,115,118,9,18,25,121,25,111,66,1493,258,16,84,179,348
2014-12-11,cum_probable,1,6,0,32,0,0,32,1,1,79,1,0,4,0,1
2014-12-11,cum_confirmed,288,892,4,563,88,494,89,123,171,6497,981,31,390,920,1463
2014-12-11,death_suspected,8,22,1,4,6,5,0,2,9,158,74,3,4,12,8
2014-12-11,death_probable,43,19,1,35,9,0,32,19,20,208,1,2,21,2,4
2014-12-11,death_confirmed,86,230,4,228,27,261,29,51,45,1865,253,16,92,226,317
2014-12-11,cfr,29,25,100,40,30,52,32,41,26,28,25,51,23,24,21
2014-12-11,positive_corpse,0,0,0,0,1,0,0,0,0,5,0,1,0,4
2014-12-11,negative_corpse,13,13,0,1,1,8,0,0,10,5,1,3,7,12
2014-12-11,cum_contacts,1891,6755,307,3543,845,3329,255,1313,1727,54247,8356,1222,3283,7726,13695
2014-12-11,cum_completed_contacts,1235,4966,165,3034,698,3083,227,946,1613,34466,2168,1222,2220,5599,7290
2014-12-11,contacts_followed,656,1789,142,509,147,11,28,367,114,17645,6188,0,1063,1575,5056
2014-12-11,new_contacts,0,0,0,45,0,0,0,0,12,506,39,0,0,200,210
2014-12-11,contacts_healthy,654,1785,142,509,143,11,28,365,114,17502,6132,0,1060,1575,4984
2014-12-11,contacts_ill,2,4,0,0,4,0,0,2,0,34,10,0,0,0,12
2014-12-11,contacts_not_seen,0,0,0,0,0,0,0,0,0,99,46,0,3,0,50
2014-12-11,new_completed_contacts,0,0,0,0,0,0,0,163,0,980,3,119,0,208,487
2014-12-11,percent_seen,100,100,100,100,100,100,100,100,100,98,98,100,100,98,98
