date,variable,Bo,Bombali,Bonthe,Kailahun,Kambia,Kenema,Koinadugu,Kono,Moyamba,National,Port Loko,Pujehun,Tonkolili,Western area rural,Western area urban
2014-12-08,population,654142,494139,168729,465048,341690,653013,335471,325003,278119,6348350,557978,335574,434937,263619,1040888
2014-12-08,new_noncase,1,5,0,3,5,0,0,7,0,147,13,0,2,32,79
2014-12-08,new_suspected,0,0,0,0,0,1,0,0,0,41,4,0,2,13,21
2014-12-08,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-08,new_confirmed,4,6,0,0,0,0,0,6,0,58,6,0,1,10,25
2014-12-08,cum_noncase,604,824,60,340,94,1157,102,143,292,8088,920,25,320,1053,2154
2014-12-08,cum_suspected,111,118,9,18,24,117,25,111,64,1443,254,15,83,169,325
2014-12-08,cum_probable,1,6,0,32,0,0,32,1,1,79,1,0,4,0,1
2014-12-08,cum_confirmed,273,886,4,562,86,494,86,112,170,6375,962,31,386,895,1428
2014-12-08,death_suspected,8,22,1,4,6,5,0,2,9,158,74,3,4,12,8
2014-12-08,death_probable,43,19,1,35,9,0,32,19,20,208,1,2,21,2,4
2014-12-08,death_confirmed,85,225,4,228,26,261,27,41,45,1734,213,16,88,197,278
2014-12-08,cfr,31,25,100,40,30,52,31,36,26,27,22,51,22,22,19
2014-12-08,positive_corpse,0,0,0,0,0,0,0,0,0,3,0,0,2,9
2014-12-08,negative_corpse,0,0,0,2,5,0,0,0,0,10,0,0,21,52
2014-12-08,cum_contacts,1803,6477,307,3433,831,3318,255,1301,1703,52658,8209,1222,3252,7447,13100
2014-12-08,cum_completed_contacts,1115,4800,165,2887,698,3041,227,743,1613,32395,2103,1103,2210,5321,6369
2014-12-08,contacts_followed,591,1677,142,546,133,42,28,546,90,17539,6106,119,1042,1722,4755
2014-12-08,new_contacts,0,0,2,17,16,0,0,0,0,211,20,0,26,98,32
2014-12-08,contacts_healthy,588,1672,142,546,123,42,28,544,89,17258,6012,119,1042,1617,4694
2014-12-08,contacts_ill,3,5,0,0,10,0,0,2,1,35,6,0,0,7,1
2014-12-08,contacts_not_seen,0,0,0,0,0,0,0,0,0,116,88,0,0,0,28
2014-12-08,new_completed_contacts,22,0,0,0,0,0,0,0,27,194,56,0,0,89,0
2014-12-08,percent_seen,100,100,100,100,100,100,100,100,100,99,98,100,100,94,99
