date,variable,Bo,Bombali,Bonthe,Kailahun,Kambia,Kenema,Koinadugu,Kono,Moyamba,National,Port Loko,Pujehun,Tonkolili,Western area rural,Western area urban
2014-12-07,population,654142,494139,168729,465048,341690,653013,335471,325003,278119,6348350,557978,335574,434937,263619,1040888
2014-12-07,new_noncase,8,8,0,1,0,6,0,0,11,78,13,0,5,9,17
2014-12-07,new_suspected,2,2,0,0,0,0,0,0,3,19,6,0,1,0,5
2014-12-07,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,new_confirmed,1,3,0,0,0,0,0,0,4,25,2,0,3,3,9
2014-12-07,cum_noncase,603,819,60,337,89,1157,102,136,292,7941,907,25,318,1021,2075
2014-12-07,cum_suspected,111,118,9,18,24,116,25,111,64,1402,250,15,81,156,304
2014-12-07,cum_probable,1,6,0,32,0,0,32,1,1,79,1,0,4,0,1
2014-12-07,cum_confirmed,269,880,4,562,86,494,86,106,170,6317,956,31,385,885,1403
2014-12-07,death_suspected,8,22,1,4,6,5,0,2,9,158,74,3,4,12,8
2014-12-07,death_probable,43,19,1,35,9,0,32,19,20,208,1,2,21,2,4
2014-12-07,death_confirmed,83,223,3,228,26,261,27,41,44,1708,208,16,88,193,267
2014-12-07,cfr,30,25,75,40,30,52,31,38,25,27,21,51,22,21,19
2014-12-07,positive_corpse,1,2,0,0,0,0,0,0,1,0,0,1,0,1
2014-12-07,negative_corpse,8,6,0,0,0,5,0,0,6,2,0,1,4,8
2014-12-07,cum_contacts,1803,6688,273,3373,815,3318,255,1141,1703,52266,8151,1222,3107,7349,13068
2014-12-07,cum_completed_contacts,1101,4855,165,2887,698,3041,78,661,1559,31976,2032,1103,2204,5223,6369
2014-12-07,contacts_followed,630,1833,108,486,117,42,28,480,144,18120,6379,119,903,1763,5088
2014-12-07,new_contacts,0,0,0,0,6,0,0,0,0,402,0,0,0,140,256
2014-12-07,contacts_healthy,630,1833,180,486,117,42,28,475,140,17721,6358,119,903,1618,4792
2014-12-07,contacts_ill,0,0,0,0,0,0,0,0,1,7,0,0,0,4,2
2014-12-07,contacts_not_seen,0,0,0,0,0,0,0,5,3,68,21,0,0,1,38
2014-12-07,new_completed_contacts,0,0,0,0,0,0,50,0,0,261,0,0,0,40,171
2014-12-07,percent_seen,100,100,100,100,100,99,100,99,98,98,100,100,100,92,94
