date,variable,Bo,Bombali,Bonthe,Kailahun,Kambia,Kenema,Koinadugu,Kono,Moyamba,National,Port Loko,Pujehun,Tonkolili,Western area rural,Western area urban
2014-12-10,population,654142,494139,168729,465048,341690,653013,335471,325003,278119,6348350,557978,335574,434937,263619,1040888
2014-12-10,new_noncase,16,1,0,3,0,15,1,1,5,148,22,4,14,18,48
2014-12-10,new_suspected,2,0,0,0,0,2,0,0,0,22,1,0,0,6,11
2014-12-10,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,new_confirmed,7,0,0,0,0,0,0,4,1,37,6,0,1,7,11
2014-12-10,cum_noncase,643,832,73,344,111,1177,107,162,310,8417,962,29,337,1084,2246
2014-12-10,cum_suspected,114,118,9,18,24,120,25,111,65,1478,256,15,84,178,341
2014-12-10,cum_probable,1,6,0,32,0,0,32,1,1,79,1,0,4,0,1
2014-12-10,cum_confirmed,283,890,4,563,86,494,87,123,171,6457,973,31,387,912,1453
2014-12-10,death_suspected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,death_probable,8,22,1,4,6,5,0,2,9,158,74,3,4,12,8
2014-12-10,death_confirmed,43,19,1,35,9,0,32,19,20,208,1,2,21,2,4
2014-12-10,cfr,85,227,4,228,26,261,29,51,45,1823,236,16,91,221,303
2014-12-10,positive_corpse,0,0,0,0,0,0,0,1,0,1,0,0,2,4
2014-12-10,negative_corpse,12,1,0,2,0,14,1,0,5,9,4,10,9,26
2014-12-10,cum_contacts,1891,6755,307,3498,845,3329,255,1313,1715,53741,8317,1222,3283,7526,13485
2014-12-10,cum_completed_contacts,1235,4966,165,3034,698,3083,227,783,1613,33486,2165,1103,2220,5391,6803
2014-12-10,contacts_followed,656,1789,142,464,147,11,28,530,101,17864,6152,119,1063,1398,5264
2014-12-10,new_contacts,88,22,0,0,0,0,0,0,12,379,82,0,0,30,145
2014-12-10,contacts_healthy,654,1785,142,464,143,11,28,528,101,17765,6132,119,1060,1368,5230
2014-12-10,contacts_ill,2,4,0,0,4,0,0,2,0,23,9,0,0,0,2
2014-12-10,contacts_not_seen,0,0,0,0,0,0,0,0,0,45,11,0,3,0,31
2014-12-10,new_completed_contacts,0,62,0,147,0,42,0,0,0,415,0,0,10,10,144
2014-12-10,percent_seen,100,100,100,100,100,100,100,100,100,98,98,100,100,98,98
