date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police traning School
9/24/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,,,
9/24/2014,new_noncase,0,13,5,0,1,3,1,7,0,0,1,0,11,2,44,,,
9/24/2014,new_suspected,0,3,1,0,0,0,0,4,0,0,5,0,1,2,16,,,
9/24/2014,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9/24/2014,new_confirmed,0,0,0,0,0,1,1,14,3,1,8,0,6,7,41,,,
9/24/2014,cum_noncase,280,556,35,5,26,52,39,71,4,86,38,1,271,92,1556,,,
9/24/2014,cum_suspected,18,33,40,0,0,10,3,10,1,19,10,2,13,9,168,,,
9/24/2014,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
9/24/2014,cum_confirmed,529,417,18,10,0,149,60,201,16,84,50,1,178,103,1816,,,
9/24/2014,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
9/24/2014,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
9/24/2014,death_confirmed,210,230,2,1,0,9,4,17,1,16,7,1,8,3,509,,,
9/24/2014,cfr,39.7,55.2,0,10,0,6,6.7,8.5,6.3,19,14,100,4.5,2.9,28,,,
9/24/2014,etc_new_admission,0,1,,,,,,,,,,,,,,0,,
9/24/2014,etc_currently_admitted,18,29,,,,,,,,,,,,,,18,,
9/24/2014,etc_cum_admission,28,501,,,,,,,,,,,,,,28,,
9/24/2014,etc_new_deaths,2,1,,,,,,,,,,,,,,3,,
9/24/2014,etc_cum_deaths,10,245,,,,,,,,,,,,,,10,,
9/24/2014,etc_new_discharges,0,2,,,,,,,,,,,,,,0,,
9/24/2014,etc_cum_discharges,0,281,,,,,,,,,,,,,,0,,
9/24/2014,cum_contacts,1627,2731,257,185,,976,1376,2175,409,681,353,89,1044,412,12315,,,
9/24/2014,cum_completed_contacts,1199,2231,140,27,,288,217,387,240,540,178,32,616,114,6209,,,
9/24/2014,contacts_followed,151,533,117,155,,688,1159,1789,169,141,175,57,428,298,5860,,,
9/24/2014,new_contacts,8,4,0,51,,16,0,35,0,0,0,0,39,12,165,,,
9/24/2014,contacts_healthy,151,515,113,155,,678,1159,1689,169,140,175,57,339,262,5602,,,
9/24/2014,contacts_ill,0,0,4,0,,7,0,1,0,1,0,0,2,1,16,,,
9/24/2014,contacts_not_seen,0,18,0,0,,3,0,99,0,0,0,0,89,36,245,,,
9/24/2014,new_completed_contacts,500.00%,6200.00%,0.00%,0.00%,,1200.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1600.00%,0.00%,9500.00%,,,
9/24/2014,percent_seen,100%,98%,100%,100%,,98%,100%,98%,100%,100%,100%,100%,79%,98%,98%,,,
